"","GEOID","countycode","NAME","nsdoh_profiles"
"1","25001010100","001","Census Tract 101, Barnstable County, Massachusetts","Profile 7"
"2","25001010206","001","Census Tract 102.06, Barnstable County, Massachusetts","Profile 7"
"3","25001010208","001","Census Tract 102.08, Barnstable County, Massachusetts","Profile 7"
"4","25001010304","001","Census Tract 103.04, Barnstable County, Massachusetts","Profile 1"
"5","25001010306","001","Census Tract 103.06, Barnstable County, Massachusetts","Profile 7"
"6","25001010400","001","Census Tract 104, Barnstable County, Massachusetts","Profile 7"
"7","25001010500","001","Census Tract 105, Barnstable County, Massachusetts","Profile 1"
"8","25001010600","001","Census Tract 106, Barnstable County, Massachusetts","Profile 1"
"9","25001010700","001","Census Tract 107, Barnstable County, Massachusetts","Profile 4"
"10","25001010800","001","Census Tract 108, Barnstable County, Massachusetts","Profile 1"
"11","25001010900","001","Census Tract 109, Barnstable County, Massachusetts","Profile 7"
"12","25001011002","001","Census Tract 110.02, Barnstable County, Massachusetts","Profile 4"
"13","25001011100","001","Census Tract 111, Barnstable County, Massachusetts","Profile 4"
"14","25001011200","001","Census Tract 112, Barnstable County, Massachusetts","Profile 7"
"15","25001011300","001","Census Tract 113, Barnstable County, Massachusetts","Profile 1"
"16","25001011400","001","Census Tract 114, Barnstable County, Massachusetts","Profile 7"
"17","25001011500","001","Census Tract 115, Barnstable County, Massachusetts","Profile 7"
"18","25001011600","001","Census Tract 116, Barnstable County, Massachusetts","Profile 8"
"19","25001011700","001","Census Tract 117, Barnstable County, Massachusetts","Profile 7"
"20","25001011801","001","Census Tract 118.01, Barnstable County, Massachusetts","Profile 4"
"21","25001011802","001","Census Tract 118.02, Barnstable County, Massachusetts","Profile 7"
"22","25001012001","001","Census Tract 120.01, Barnstable County, Massachusetts","Profile 4"
"23","25001012002","001","Census Tract 120.02, Barnstable County, Massachusetts","Profile 2"
"24","25001012101","001","Census Tract 121.01, Barnstable County, Massachusetts","Profile 5"
"25","25001012102","001","Census Tract 121.02, Barnstable County, Massachusetts","Profile 7"
"26","25001012200","001","Census Tract 122, Barnstable County, Massachusetts","Profile 1"
"27","25001012502","001","Census Tract 125.02, Barnstable County, Massachusetts","Profile 2"
"28","25001012601","001","Census Tract 126.01, Barnstable County, Massachusetts","Profile 7"
"29","25001012602","001","Census Tract 126.02, Barnstable County, Massachusetts","Profile 2"
