varname,acs2010,acs2015,acs2019
medianincome_2010,65571,69457.5,82265
Femalehousehold_2010_P,5.4,5.1,3.9
Education9years_2010,3.1,2.9,2.5
HighSchoolHigherP_2010,91.3,92.4,93.5
BachelorHigherP_2010,34,36.4,40.5
lang_home_EN_notwell_2010,5.3,5.3,5.8
UnemployementP_2010,4.5,4.8,2.9
SNAP_2010_P,4.85,8.5,7.7
OwnerOccupiedUnitP_2010,68.35,65.7,66.15
RenterOccupiedUnitP_2010,31.65,34.3,33.85
No_vehicle_2010,7.4,7.9,7.7
minoritystatus_2010,16.1657471,20.21230785,23.91358955
Crowding_housing_2010,0.7384621,1.11444492,1.281694165
pov_2010,12.9797441,14.6362587,12.50546805
working_class_2010,57.517986,56.32691,53.85467
