"Kprior","gamma_label","deltatemp","swap_rate"
"poisson","DirichSym","0.01","38.8"
"poisson","DirichSym","0.025","15.9"
"poisson","DirichSym","0.05","1.2"
"poisson","DirichSym","0.1","0.1"
"poisson","DirichPAprox","0.01","56.8"
"poisson","DirichPAprox","0.025","21.3"
"poisson","DirichPAprox","0.05","1.9"
"poisson","DirichPAprox","0.1","0.1"
"uniform","DirichSym","0.01","36.7"
"uniform","DirichSym","0.025","5.7"
"uniform","DirichSym","0.05","0.8"
"uniform","DirichSym","0.1","0.1"
"uniform","DirichPAprox","0.01","48.9"
"uniform","DirichPAprox","0.025","10.6"
"uniform","DirichPAprox","0.05","0.9"
"uniform","DirichPAprox","0.1","0.1"
