"","level","Overall","Not optimal","Optimal","p","test"
"n","","9,318","1,738","7,580","",""
"race_eth_recode (%)","Non-Hispanic White"," 8366 (89.8) "," 1555 ( 18.6) "," 6811 (81.4) "," 0.503",""
"","Non-Hispanic Black","  310 ( 3.3) ","   62 ( 20.0) ","  248 (80.0) ","",""
"","Hispanic","  209 ( 2.2) ","   47 ( 22.5) ","  162 (77.5) ","",""
"","Other","  365 ( 3.9) ","   61 ( 16.7) ","  304 (83.3) ","",""
"",NA,"   68 ( 0.7) ","   13 ( 19.1) ","   55 (80.9) ","",""
"nativity (%)","US-born"," 3984 (42.8) ","  868 ( 21.8) "," 3116 (78.2) ","<0.001",""
"","Foreign-born"," 4552 (48.9) ","  709 ( 15.6) "," 3843 (84.4) ","",""
"","Unknown","  782 ( 8.4) ","  161 ( 20.6) ","  621 (79.4) ","",""
"age_dx_cat (%)","Younger than 50"," 1025 (11.0) ","  151 ( 14.7) ","  874 (85.3) ","<0.001",""
"","50-64"," 4491 (48.2) ","  695 ( 15.5) "," 3796 (84.5) ","",""
"","65 or older"," 3802 (40.8) ","  892 ( 23.5) "," 2910 (76.5) ","",""
"yeardx_fct (%)","2006","  744 ( 8.0) ","  134 ( 18.0) ","  610 (82.0) "," 0.159",""
"","2007","  703 ( 7.5) ","  153 ( 21.8) ","  550 (78.2) ","",""
"","2008","  800 ( 8.6) ","  156 ( 19.5) ","  644 (80.5) ","",""
"","2009","  789 ( 8.5) ","  166 ( 21.0) ","  623 (79.0) ","",""
"","2010","  751 ( 8.1) ","  140 ( 18.6) ","  611 (81.4) ","",""
"","2011","  877 ( 9.4) ","  161 ( 18.4) ","  716 (81.6) ","",""
"","2012","  740 ( 7.9) ","  137 ( 18.5) ","  603 (81.5) ","",""
"","2013","  771 ( 8.3) ","  131 ( 17.0) ","  640 (83.0) ","",""
"","2014","  731 ( 7.8) ","  133 ( 18.2) ","  598 (81.8) ","",""
"","2015","  821 ( 8.8) ","  154 ( 18.8) ","  667 (81.2) ","",""
"","2016","  855 ( 9.2) ","  132 ( 15.4) ","  723 (84.6) ","",""
"","2017","  736 ( 7.9) ","  141 ( 19.2) ","  595 (80.8) ","",""
"insurance_status (%)","Private"," 4464 (47.9) ","  674 ( 15.1) "," 3790 (84.9) ","<0.001",""
"","Medicare"," 3488 (37.4) ","  806 ( 23.1) "," 2682 (76.9) ","",""
"","Public/Government","  607 ( 6.5) ","  139 ( 22.9) ","  468 (77.1) ","",""
"","Other","  620 ( 6.7) ","   86 ( 13.9) ","  534 (86.1) ","",""
"","Not insured","  139 ( 1.5) ","   33 ( 23.7) ","  106 (76.3) ","",""
"trt_summary_overall (%)","No surgery","  359 ( 3.9) ","  359 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Surgery alone"," 6501 (69.8) ","  309 (  4.8) "," 6192 (95.2) ","",""
"","Surgery and radiation"," 1617 (17.4) ","  676 ( 41.8) ","  941 (58.2) ","",""
