,cluster,NSES_VARS,theta_kj,NSES_group,cluster_size
1,1,Median income,0.958064018,Economic security,Profile 1 (n = 401)
2,1,Female household,0.286301178,Sociocultural proxies,Profile 1 (n = 401)
3,1,< HS,0.114046568,Educational attainment,Profile 1 (n = 401)
4,1, >= HS,0.9559266,Educational attainment,Profile 1 (n = 401)
5,1, >= Bacherlors,0.950194486,Educational attainment,Profile 1 (n = 401)
6,1,Limited EN Proficiency,0.180930656,Sociocultural proxies,Profile 1 (n = 401)
7,1,Unemployment,0.336852624,Economic security,Profile 1 (n = 401)
8,1,SNAP benefits,0.066189977,Economic security,Profile 1 (n = 401)
9,1,Owner-occupied housing,0.997387771,Household wealth,Profile 1 (n = 401)
10,1,Renter-occupied housing,0.00247131,Household wealth,Profile 1 (n = 401)
11,1,No vehicle,0.112464129,Household wealth,Profile 1 (n = 401)
12,1,Hispanic/Latino,0.134289246,Sociocultural proxies,Profile 1 (n = 401)
13,1,NH Black,0.241234235,Sociocultural proxies,Profile 1 (n = 401)
14,1,NH Asian,0.565892405,Sociocultural proxies,Profile 1 (n = 401)
15,1,Crowded housing,0.206258099,Household wealth,Profile 1 (n = 401)
16,1,Below 150% poverty,0.038689865,Economic security,Profile 1 (n = 401)
17,1,Working class,0.046606798,Economic security,Profile 1 (n = 401)
18,1,Lack complete plumbing,0.248135472,Household wealth,Profile 1 (n = 401)
19,2,Median income,0.102050755,Economic security,Profile 8 (n = 76)
20,2,Female household,0.606941366,Sociocultural proxies,Profile 8 (n = 76)
21,2,< HS,0.471203301,Educational attainment,Profile 8 (n = 76)
22,2, >= HS,0.373233718,Educational attainment,Profile 8 (n = 76)
23,2, >= Bacherlors,0.171863081,Educational attainment,Profile 8 (n = 76)
24,2,Limited EN Proficiency,0.232980199,Sociocultural proxies,Profile 8 (n = 76)
25,2,Unemployment,0.641043553,Economic security,Profile 8 (n = 76)
26,2,SNAP benefits,0.827216764,Economic security,Profile 8 (n = 76)
27,2,Owner-occupied housing,0.014078567,Household wealth,Profile 8 (n = 76)
28,2,Renter-occupied housing,0.98665137,Household wealth,Profile 8 (n = 76)
29,2,No vehicle,0.634242658,Household wealth,Profile 8 (n = 76)
30,2,Hispanic/Latino,0.481067423,Sociocultural proxies,Profile 8 (n = 76)
31,2,NH Black,0.510346579,Sociocultural proxies,Profile 8 (n = 76)
32,2,NH Asian,0.159693222,Sociocultural proxies,Profile 8 (n = 76)
33,2,Crowded housing,0.397200482,Household wealth,Profile 8 (n = 76)
34,2,Below 150% poverty,0.844462273,Economic security,Profile 8 (n = 76)
35,2,Working class,0.80761909,Economic security,Profile 8 (n = 76)
36,2,Lack complete plumbing,0.236106749,Household wealth,Profile 8 (n = 76)
37,3,Median income,0.007677353,Economic security,Profile 2 (n = 378)
38,3,Female household,0.908296227,Sociocultural proxies,Profile 2 (n = 378)
39,3,< HS,0.984153825,Educational attainment,Profile 2 (n = 378)
40,3, >= HS,0.004398276,Educational attainment,Profile 2 (n = 378)
41,3, >= Bacherlors,0.012014959,Educational attainment,Profile 2 (n = 378)
42,3,Limited EN Proficiency,0.963980756,Sociocultural proxies,Profile 2 (n = 378)
43,3,Unemployment,0.820452725,Economic security,Profile 2 (n = 378)
44,3,SNAP benefits,0.976706994,Economic security,Profile 2 (n = 378)
45,3,Owner-occupied housing,0.00286267,Household wealth,Profile 2 (n = 378)
46,3,Renter-occupied housing,0.997251541,Household wealth,Profile 2 (n = 378)
47,3,No vehicle,0.946465148,Household wealth,Profile 2 (n = 378)
48,3,Hispanic/Latino,0.94475932,Sociocultural proxies,Profile 2 (n = 378)
49,3,NH Black,0.812526261,Sociocultural proxies,Profile 2 (n = 378)
50,3,NH Asian,0.455779063,Sociocultural proxies,Profile 2 (n = 378)
51,3,Crowded housing,0.841258906,Household wealth,Profile 2 (n = 378)
52,3,Below 150% poverty,0.985095367,Economic security,Profile 2 (n = 378)
53,3,Working class,0.9808429,Economic security,Profile 2 (n = 378)
54,3,Lack complete plumbing,0.394561998,Household wealth,Profile 2 (n = 378)
55,4,Median income,0.377082591,Economic security,Profile 6 (n =100)
56,4,Female household,0.504808441,Sociocultural proxies,Profile 6 (n =100)
57,4,< HS,0.857980153,Educational attainment,Profile 6 (n =100)
58,4, >= HS,0.154303432,Educational attainment,Profile 6 (n =100)
59,4, >= Bacherlors,0.960281815,Educational attainment,Profile 6 (n =100)
60,4,Limited EN Proficiency,0.945357458,Sociocultural proxies,Profile 6 (n =100)
61,4,Unemployment,0.672007833,Economic security,Profile 6 (n =100)
62,4,SNAP benefits,0.908429076,Economic security,Profile 6 (n =100)
63,4,Owner-occupied housing,0.012441013,Household wealth,Profile 6 (n =100)
64,4,Renter-occupied housing,0.988753585,Household wealth,Profile 6 (n =100)
65,4,No vehicle,0.964676653,Household wealth,Profile 6 (n =100)
66,4,Hispanic/Latino,0.853179068,Sociocultural proxies,Profile 6 (n =100)
67,4,NH Black,0.85323758,Sociocultural proxies,Profile 6 (n =100)
