"","level","Overall","Not optimal","Optimal","p","test"
"n","","3,787","749","3,038","",""
"race_eth_recode (%)","Non-Hispanic White"," 3470 (91.6) ","689 ( 19.9) "," 2781 ( 80.1) "," 0.474",""
"","Non-Hispanic Black","   97 ( 2.6) "," 15 ( 15.5) ","   82 ( 84.5) ","",""
"","Hispanic","   72 ( 1.9) "," 15 ( 20.8) ","   57 ( 79.2) ","",""
"","Other","  125 ( 3.3) "," 28 ( 22.4) ","   97 ( 77.6) ","",""
"",NA,"   23 ( 0.6) ","  2 (  8.7) ","   21 ( 91.3) ","",""
"nativity (%)","US-born"," 1692 (44.7) ","406 ( 24.0) "," 1286 ( 76.0) ","<0.001",""
"","Foreign-born"," 1810 (47.8) ","266 ( 14.7) "," 1544 ( 85.3) ","",""
"","Unknown","  285 ( 7.5) "," 77 ( 27.0) ","  208 ( 73.0) ","",""
"age_dx_cat (%)","Younger than 50","  482 (12.7) "," 70 ( 14.5) ","  412 ( 85.5) ","<0.001",""
"","50-64"," 1895 (50.0) ","306 ( 16.1) "," 1589 ( 83.9) ","",""
"","65 or older"," 1410 (37.2) ","373 ( 26.5) "," 1037 ( 73.5) ","",""
"insurance_status (%)","Private"," 1936 (51.1) ","309 ( 16.0) "," 1627 ( 84.0) ","<0.001",""
"","Medicare"," 1304 (34.4) ","332 ( 25.5) ","  972 ( 74.5) ","",""
"","Public/Government","  193 ( 5.1) "," 48 ( 24.9) ","  145 ( 75.1) ","",""
"","Other","  276 ( 7.3) "," 42 ( 15.2) ","  234 ( 84.8) ","",""
"","Not insured","   78 ( 2.1) "," 18 ( 23.1) ","   60 ( 76.9) ","",""
"trt_summary_overall (%)","No surgery","  149 ( 3.9) ","149 (100.0) ","    0 (  0.0) ","<0.001",""
"","Surgery alone"," 2742 (72.4) "," 49 (  1.8) "," 2693 ( 98.2) ","",""
"","Surgery and radiation","  640 (16.9) ","431 ( 67.3) ","  209 ( 32.7) ","",""
"","Surgery and chemo","  140 ( 3.7) "," 76 ( 54.3) ","   64 ( 45.7) ","",""
"","All three","  116 ( 3.1) "," 44 ( 37.9) ","   72 ( 62.1) ","",""
"type_surg_received (%)","None","  144 ( 3.8) ","144 (100.0) ","    0 (  0.0) ","<0.001",""
"","Tumor destruction","    2 ( 0.1) ","  0 (  0.0) ","    2 (100.0) ","",""
"","Resection"," 3634 (96.0) ","600 ( 16.5) "," 3034 ( 83.5) ","",""
"","Other/Unknown","    7 ( 0.2) ","  5 ( 71.4) ","    2 ( 28.6) ","",""
"radiation_yn (%)","No"," 2971 (78.5) ","214 (  7.2) "," 2757 ( 92.8) ","<0.001",""
"","Yes","  816 (21.5) ","535 ( 65.6) ","  281 ( 34.4) ","",""
"Rad_Reg_Rx_Mod_cat (%)","No radiation treatment"," 2971 (78.5) ","214 (  7.2) "," 2757 ( 92.8) ","<0.001",""
"","External beam(EBRT)","   93 ( 2.5) "," 50 ( 53.8) ","   43 ( 46.2) ","",""
"","Brachytherapy","  411 (10.9) ","199 ( 48.4) ","  212 ( 51.6) ","",""
"","Other","  312 ( 8.2) ","286 ( 91.7) ","   26 (  8.3) ","",""
"chemo_yn (%)","No"," 3509 (92.7) ","607 ( 17.3) "," 2902 ( 82.7) ","<0.001",""
"","Yes","  278 ( 7.3) ","142 ( 51.1) ","  136 ( 48.9) ","",""
"FIGOStage (%)","Stage I"," 3168 (83.7) ","457 ( 14.4) "," 2711 ( 85.6) ","<0.001",""
"","Stage II","  441 (11.6) ","221 ( 50.1) ","  220 ( 49.9) ","",""
"","Stage III","   67 ( 1.8) "," 23 ( 34.3) ","   44 ( 65.7) ","",""
"","Stage IV","  111 ( 2.9) "," 48 ( 43.2) ","   63 ( 56.8) ","",""
"Grade_cat (%)","Grade I"," 1677 (44.3) ","233 ( 13.9) "," 1444 ( 86.1) ","<0.001",""
"","Grade II"," 1430 (37.8) ","302 ( 21.1) "," 1128 ( 78.9) ","",""
"","Grade III","  680 (18.0) ","214 ( 31.5) ","  466 ( 68.5) ","",""
"facility_type1_cat_1 (%)","Academic Medical Centers"," 1312 (34.6) ","219 ( 16.7) "," 1093 ( 83.3) ","<0.001",""
"","Community"," 1637 (43.2) ","357 ( 21.8) "," 1280 ( 78.2) ","",""
"","Specialty","   45 ( 1.2) "," 18 ( 40.0) ","   27 ( 60.0) ","",""
"","Teaching","  778 (20.5) ","151 ( 19.4) ","  627 ( 80.6) ","",""
"",NA,"   15 ( 0.4) ","  4 ( 26.7) ","   11 ( 73.3) ","",""
"facility_size1 (%)","Small(< 100)","  103 ( 2.7) "," 24 ( 23.3) ","   79 ( 76.7) "," 0.192",""
"","Medium(100-299)","  962 (25.4) ","206 ( 21.4) ","  756 ( 78.6) ","",""
"","Large(300+)"," 2722 (71.9) ","519 ( 19.1) "," 2203 ( 80.9) ","",""
"facility_docspecialty1 (%)","Family/Internal medicine"," 1372 (36.2) ","242 ( 17.6) "," 1130 ( 82.4) ","<0.001",""
"","Hematology","   43 ( 1.1) "," 17 ( 39.5) ","   26 ( 60.5) ","",""
"","Gynecology & obstetrics"," 1034 (27.3) ","184 ( 17.8) ","  850 ( 82.2) ","",""
"","Oncology","  627 (16.6) ","134 ( 21.4) ","  493 ( 78.6) ","",""
"","Radiology","   97 ( 2.6) "," 58 ( 59.8) ","   39 ( 40.2) ","",""
"","missing","  474 (12.5) "," 86 ( 18.1) ","  388 ( 81.9) ","",""
"","other specialty","  140 ( 3.7) "," 28 ( 20.0) ","  112 ( 80.0) ","",""
