"","level","Overall","Not optimal","Optimal","p","test"
"n","","2,412","427","1,985","",""
"race_eth_recode (%)","Non-Hispanic White"," 2103 (87.2) ","364 ( 17.3) "," 1739 (82.7) "," 0.365",""
"","Non-Hispanic Black","   99 ( 4.1) "," 24 ( 24.2) ","   75 (75.8) ","",""
"","Hispanic","   72 ( 3.0) "," 14 ( 19.4) ","   58 (80.6) ","",""
"","Other","  119 ( 4.9) "," 20 ( 16.8) ","   99 (83.2) ","",""
"",NA,"   19 ( 0.8) ","  5 ( 26.3) ","   14 (73.7) ","",""
"nativity (%)","US-born","  968 (40.1) ","172 ( 17.8) ","  796 (82.2) "," 0.864",""
"","Foreign-born"," 1201 (49.8) ","215 ( 17.9) ","  986 (82.1) ","",""
"","Unknown","  243 (10.1) "," 40 ( 16.5) ","  203 (83.5) ","",""
"yeardx_fct (%)","2015","  821 (34.0) ","154 ( 18.8) ","  667 (81.2) "," 0.095",""
"","2016","  855 (35.4) ","132 ( 15.4) ","  723 (84.6) ","",""
"","2017","  736 (30.5) ","141 ( 19.2) ","  595 (80.8) ","",""
"age_dx_cat (%)","Younger than 50","  214 ( 8.9) "," 33 ( 15.4) ","  181 (84.6) ","<0.001",""
"","50-64"," 1111 (46.1) ","157 ( 14.1) ","  954 (85.9) ","",""
"","65 or older"," 1087 (45.1) ","237 ( 21.8) ","  850 (78.2) ","",""
"insurance_status (%)","Private"," 1064 (44.1) ","136 ( 12.8) ","  928 (87.2) ","<0.001",""
"","Medicare","  986 (40.9) ","217 ( 22.0) ","  769 (78.0) ","",""
"","Public/Government","  199 ( 8.3) "," 47 ( 23.6) ","  152 (76.4) ","",""
"","Other","  131 ( 5.4) "," 21 ( 16.0) ","  110 (84.0) ","",""
"","Not insured","   32 ( 1.3) ","  6 ( 18.8) ","   26 (81.2) ","",""
"trt_summary_overall (%)","No surgery","   99 ( 4.1) "," 99 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Surgery alone"," 1594 (66.1) "," 92 (  5.8) "," 1502 (94.2) ","",""
"","Surgery and radiation","  430 (17.8) ","104 ( 24.2) ","  326 (75.8) ","",""
"","Surgery and chemo","  132 ( 5.5) "," 76 ( 57.6) ","   56 (42.4) ","",""
"","All three","  157 ( 6.5) "," 56 ( 35.7) ","  101 (64.3) ","",""
"type_surg_received (%)","None","   91 ( 3.8) "," 91 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Resection"," 2309 (95.7) ","326 ( 14.1) "," 1983 (85.9) ","",""
"","Other/Unknown","   12 ( 0.5) "," 10 ( 83.3) ","    2 (16.7) ","",""
"radiation_yn (%)","No"," 1789 (74.2) ","231 ( 12.9) "," 1558 (87.1) ","<0.001",""
"","Yes","  623 (25.8) ","196 ( 31.5) ","  427 (68.5) ","",""
"Rad_Reg_Rx_Mod_cat (%)","No radiation treatment"," 1789 (74.2) ","231 ( 12.9) "," 1558 (87.1) ","<0.001",""
"","External beam(EBRT)","   18 ( 0.7) ","  4 ( 22.2) ","   14 (77.8) ","",""
"","Brachytherapy","  383 (15.9) "," 16 (  4.2) ","  367 (95.8) ","",""
"","Other","  222 ( 9.2) ","176 ( 79.3) ","   46 (20.7) ","",""
"chemo_yn (%)","No"," 2101 (87.1) ","273 ( 13.0) "," 1828 (87.0) ","<0.001",""
"","Yes","  311 (12.9) ","154 ( 49.5) ","  157 (50.5) ","",""
