"","level","Overall","cluster1 ","cluster2 ","cluster3 ","cluster4 ","cluster5 ","cluster6 ","cluster7 ","cluster8 ","p","test"
"n","","3,119","214","631","331","217","420","950","47","309","",""
"race_eth_recode (%)","Non-Hispanic White"," 2793 (89.5) ","162 ( 5.8) ","477 (17.1) ","312 (11.2) ","208 ( 7.4) ","404 (14.5) ","904 (32.4) ","44 (1.6) ","282 (10.1) ","<0.001",""
"","Non-Hispanic Black","  114 ( 3.7) "," 17 (14.9) "," 61 (53.5) ","  8 ( 7.0) ","  5 ( 4.4) ","  4 ( 3.5) "," 12 (10.5) "," 1 (0.9) ","  6 ( 5.3) ","",""
"","Hispanic","   65 ( 2.1) "," 11 (16.9) "," 13 (20.0) ","  1 ( 1.5) ","  2 ( 3.1) ","  2 ( 3.1) "," 22 (33.8) "," 1 (1.5) "," 13 (20.0) ","",""
"","Other","  121 ( 3.9) "," 21 (17.4) "," 74 (61.2) ","  6 ( 5.0) ","  1 ( 0.8) ","  6 ( 5.0) ","  7 ( 5.8) "," 0 (0.0) ","  6 ( 5.0) ","",""
"",NA,"   26 ( 0.8) ","  3 (11.5) ","  6 (23.1) ","  4 (15.4) ","  1 ( 3.8) ","  4 (15.4) ","  5 (19.2) "," 1 (3.8) ","  2 ( 7.7) ","",""
"nativity (%)","US-born"," 1324 (42.4) "," 83 ( 6.3) ","239 (18.1) ","143 (10.8) "," 93 ( 7.0) ","189 (14.3) ","433 (32.7) ","16 (1.2) ","128 ( 9.7) ","<0.001",""
"","Foreign-born"," 1541 (49.4) ","100 ( 6.5) ","290 (18.8) ","167 (10.8) ","113 ( 7.3) ","220 (14.3) ","475 (30.8) ","28 (1.8) ","148 ( 9.6) ","",""
"","Unknown","  254 ( 8.1) "," 31 (12.2) ","102 (40.2) "," 21 ( 8.3) "," 11 ( 4.3) "," 11 ( 4.3) "," 42 (16.5) "," 3 (1.2) "," 33 (13.0) ","",""
"age_dx_cat (%)","Younger than 50","  329 (10.5) "," 27 ( 8.2) "," 94 (28.6) "," 37 (11.2) "," 21 ( 6.4) "," 36 (10.9) "," 88 (26.7) "," 2 (0.6) "," 24 ( 7.3) "," 0.006",""
"","50-64"," 1485 (47.6) ","110 ( 7.4) ","308 (20.7) ","146 ( 9.8) ","103 ( 6.9) ","204 (13.7) ","445 (30.0) ","23 (1.5) ","146 ( 9.8) ","",""
"","65 or older"," 1305 (41.8) "," 77 ( 5.9) ","229 (17.5) ","148 (11.3) "," 93 ( 7.1) ","180 (13.8) ","417 (32.0) ","22 (1.7) ","139 (10.7) ","",""
"insurance_status (%)","Private"," 1464 (46.9) "," 97 ( 6.6) ","241 (16.5) ","136 ( 9.3) ","111 ( 7.6) ","205 (14.0) ","491 (33.5) ","21 (1.4) ","162 (11.1) ","<0.001",""
"","Medicare"," 1198 (38.4) "," 77 ( 6.4) ","248 (20.7) ","140 (11.7) "," 76 ( 6.3) ","166 (13.9) ","357 (29.8) ","21 (1.8) ","113 ( 9.4) ","",""
"","Public/Government","  215 ( 6.9) "," 26 (12.1) "," 86 (40.0) "," 18 ( 8.4) ","  9 ( 4.2) "," 15 ( 7.0) "," 45 (20.9) "," 1 (0.5) "," 15 ( 7.0) ","",""
"","Other","  213 ( 6.8) "," 11 ( 5.2) "," 51 (23.9) "," 34 (16.0) "," 19 ( 8.9) "," 31 (14.6) "," 50 (23.5) "," 4 (1.9) "," 13 ( 6.1) ","",""
"","Not insured","   29 ( 0.9) ","  3 (10.3) ","  5 (17.2) ","  3 (10.3) ","  2 ( 6.9) ","  3 (10.3) ","  7 (24.1) "," 0 (0.0) ","  6 (20.7) ","",""
"trt_summary_overall (%)","No surgery","  111 ( 3.6) "," 12 (10.8) "," 33 (29.7) "," 12 (10.8) ","  6 ( 5.4) "," 17 (15.3) "," 21 (18.9) "," 0 (0.0) "," 10 ( 9.0) "," 0.016",""
"","Surgery alone"," 2165 (69.4) ","140 ( 6.5) ","434 (20.0) ","213 ( 9.8) ","164 ( 7.6) ","288 (13.3) ","677 (31.3) ","40 (1.8) ","209 ( 9.7) ","",""
"","Surgery and radiation","  547 (17.5) "," 36 ( 6.6) ","106 (19.4) "," 71 (13.0) "," 34 ( 6.2) "," 73 (13.3) ","168 (30.7) "," 6 (1.1) "," 53 ( 9.7) ","",""
"","Surgery and chemo","  168 ( 5.4) "," 14 ( 8.3) "," 40 (23.8) "," 24 (14.3) ","  7 ( 4.2) "," 21 (12.5) "," 47 (28.0) "," 0 (0.0) "," 15 ( 8.9) ","",""
"","All three","  128 ( 4.1) "," 12 ( 9.4) "," 18 (14.1) "," 11 ( 8.6) ","  6 ( 4.7) "," 21 (16.4) "," 37 (28.9) "," 1 (0.8) "," 22 (17.2) ","",""
"type_surg_received (%)","None","  108 ( 3.5) "," 12 (11.1) "," 33 (30.6) "," 11 (10.2) ","  6 ( 5.6) "," 17 (15.7) "," 19 (17.6) "," 0 (0.0) "," 10 ( 9.3) "," 0.105",""
"","Resection"," 3007 (96.4) ","202 ( 6.7) ","598 (19.9) ","319 (10.6) ","211 ( 7.0) ","402 (13.4) ","929 (30.9) ","47 (1.6) ","299 ( 9.9) ","",""
"","Other/Unknown","    4 ( 0.1) ","  0 ( 0.0) ","  0 ( 0.0) ","  1 (25.0) ","  0 ( 0.0) ","  1 (25.0) ","  2 (50.0) "," 0 (0.0) ","  0 ( 0.0) ","",""
"radiation_yn (%)","No"," 2400 (76.9) ","163 ( 6.8) ","495 (20.6) ","241 (10.0) ","174 ( 7.2) ","317 (13.2) ","738 (30.8) ","40 (1.7) ","232 ( 9.7) "," 0.289",""
"","Yes","  719 (23.1) "," 51 ( 7.1) ","136 (18.9) "," 90 (12.5) "," 43 ( 6.0) ","103 (14.3) ","212 (29.5) "," 7 (1.0) "," 77 (10.7) ","",""
"Rad_Reg_Rx_Mod_cat (%)","No radiation treatment"," 2400 (76.9) ","163 ( 6.8) ","495 (20.6) ","241 (10.0) ","174 ( 7.2) ","317 (13.2) ","738 (30.8) ","40 (1.7) ","232 ( 9.7) "," 0.783",""
"","External beam(EBRT)","   30 ( 1.0) ","  3 (10.0) ","  8 (26.7) ","  3 (10.0) ","  3 (10.0) ","  3 (10.0) ","  7 (23.3) "," 0 (0.0) ","  3 (10.0) ","",""
"","Brachytherapy","  448 (14.4) "," 33 ( 7.4) "," 78 (17.4) "," 60 (13.4) "," 29 ( 6.5) "," 65 (14.5) ","131 (29.2) "," 6 (1.3) "," 46 (10.3) ","",""
"","Other","  241 ( 7.7) "," 15 ( 6.2) "," 50 (20.7) "," 27 (11.2) "," 11 ( 4.6) "," 35 (14.5) "," 74 (30.7) "," 1 (0.4) "," 28 (11.6) ","",""
