"","cluster","NSES_VARS","theta_kj","NSES_group","cluster_size"
"1",1,"Median income",0.958064018313253,"Economic security","Profile 1 (n = 401)"
"2",1,"Female household",0.286301177590361,"Economic security","Profile 1 (n = 401)"
"3",1,"< HS",0.114046568385542,"Educational attainment","Profile 1 (n = 401)"
"4",1," >= HS",0.955926600481928,"Educational attainment","Profile 1 (n = 401)"
"5",1," >= Bacherlors",0.950194485783132,"Educational attainment","Profile 1 (n = 401)"
"6",1,"Limited EN Proficiency",0.180930656144578,"Sociocultural diversity","Profile 1 (n = 401)"
"7",1,"Unemployment",0.336852623855422,"Economic security","Profile 1 (n = 401)"
"8",1,"SNAP benefits",0.0661899774216868,"Economic security","Profile 1 (n = 401)"
"9",1,"Owner-occupied housing",0.997387771084337,"Housing conditions and resources","Profile 1 (n = 401)"
"10",1,"Renter-occupied housing",0.00247131005190361,"Housing conditions and resources","Profile 1 (n = 401)"
"11",1,"No vehicle",0.112464128963855,"Housing conditions and resources","Profile 1 (n = 401)"
"12",1,"Hispanic/Latino",0.134289245759036,"Sociocultural diversity","Profile 1 (n = 401)"
"13",1,"NH Black",0.241234235421687,"Sociocultural diversity","Profile 1 (n = 401)"
"14",1,"NH Asian",0.565892405060241,"Sociocultural diversity","Profile 1 (n = 401)"
"15",1,"Crowded housing",0.206258098554217,"Housing conditions and resources","Profile 1 (n = 401)"
"16",1,"Below 150% poverty",0.0386898654819277,"Economic security","Profile 1 (n = 401)"
"17",1,"Working class",0.0466067981325301,"Economic security","Profile 1 (n = 401)"
"18",1,"Lack complete plumbing",0.248135471807229,"Housing conditions and resources","Profile 1 (n = 401)"
"19",2,"Median income",0.102050754715663,"Economic security","Profile 8 (n = 76)"
"20",2,"Female household",0.60694136626506,"Economic security","Profile 8 (n = 76)"
"21",2,"< HS",0.471203301445783,"Educational attainment","Profile 8 (n = 76)"
"22",2," >= HS",0.373233718072289,"Educational attainment","Profile 8 (n = 76)"
"23",2," >= Bacherlors",0.17186308146988,"Educational attainment","Profile 8 (n = 76)"
"24",2,"Limited EN Proficiency",0.232980199108434,"Sociocultural diversity","Profile 8 (n = 76)"
"25",2,"Unemployment",0.641043553493976,"Economic security","Profile 8 (n = 76)"
"26",2,"SNAP benefits",0.827216764337349,"Economic security","Profile 8 (n = 76)"
"27",2,"Owner-occupied housing",0.014078567326747,"Housing conditions and resources","Profile 8 (n = 76)"
"28",2,"Renter-occupied housing",0.986651369879518,"Housing conditions and resources","Profile 8 (n = 76)"
"29",2,"No vehicle",0.634242658313253,"Housing conditions and resources","Profile 8 (n = 76)"
"30",2,"Hispanic/Latino",0.481067423373494,"Sociocultural diversity","Profile 8 (n = 76)"
"31",2,"NH Black",0.510346578795181,"Sociocultural diversity","Profile 8 (n = 76)"
"32",2,"NH Asian",0.159693221951807,"Sociocultural diversity","Profile 8 (n = 76)"
"33",2,"Crowded housing",0.397200482168675,"Housing conditions and resources","Profile 8 (n = 76)"
"34",2,"Below 150% poverty",0.844462272771084,"Economic security","Profile 8 (n = 76)"
"35",2,"Working class",0.807619090120482,"Economic security","Profile 8 (n = 76)"
"36",2,"Lack complete plumbing",0.23610674939759,"Housing conditions and resources","Profile 8 (n = 76)"
"37",3,"Median income",0.0076773530413494,"Economic security","Profile 2 (n = 378)"
"38",3,"Female household",0.908296226746988,"Economic security","Profile 2 (n = 378)"
"39",3,"< HS",0.984153825301205,"Educational attainment","Profile 2 (n = 378)"
"40",3," >= HS",0.00439827645236145,"Educational attainment","Profile 2 (n = 378)"
"41",3," >= Bacherlors",0.0120149590024096,"Educational attainment","Profile 2 (n = 378)"
"42",3,"Limited EN Proficiency",0.963980755662651,"Sociocultural diversity","Profile 2 (n = 378)"
"43",3,"Unemployment",0.820452725060241,"Economic security","Profile 2 (n = 378)"
"44",3,"SNAP benefits",0.97670699373494,"Economic security","Profile 2 (n = 378)"
"45",3,"Owner-occupied housing",0.00286267010767229,"Housing conditions and resources","Profile 2 (n = 378)"
"46",3,"Renter-occupied housing",0.997251541204819,"Housing conditions and resources","Profile 2 (n = 378)"
"47",3,"No vehicle",0.946465148433735,"Housing conditions and resources","Profile 2 (n = 378)"
"48",3,"Hispanic/Latino",0.94475932,"Sociocultural diversity","Profile 2 (n = 378)"
"49",3,"NH Black",0.812526261204819,"Sociocultural diversity","Profile 2 (n = 378)"
"50",3,"NH Asian",0.45577906313253,"Sociocultural diversity","Profile 2 (n = 378)"
"51",3,"Crowded housing",0.841258905783133,"Housing conditions and resources","Profile 2 (n = 378)"
"52",3,"Below 150% poverty",0.985095367469879,"Economic security","Profile 2 (n = 378)"
"53",3,"Working class",0.9808429,"Economic security","Profile 2 (n = 378)"
"54",3,"Lack complete plumbing",0.394561997590361,"Housing conditions and resources","Profile 2 (n = 378)"
"55",4,"Median income",0.377082591084337,"Economic security","Profile 6 (n =100)"
"56",4,"Female household",0.504808440722892,"Economic security","Profile 6 (n =100)"
"57",4,"< HS",0.857980153012048,"Educational attainment","Profile 6 (n =100)"
"58",4," >= HS",0.154303431855422,"Educational attainment","Profile 6 (n =100)"
"59",4," >= Bacherlors",0.960281814939759,"Educational attainment","Profile 6 (n =100)"
"60",4,"Limited EN Proficiency",0.945357457590361,"Sociocultural diversity","Profile 6 (n =100)"
"61",4,"Unemployment",0.672007833012048,"Economic security","Profile 6 (n =100)"
"62",4,"SNAP benefits",0.908429075903614,"Economic security","Profile 6 (n =100)"
"63",4,"Owner-occupied housing",0.0124410131446337,"Housing conditions and resources","Profile 6 (n =100)"
"64",4,"Renter-occupied housing",0.988753584819277,"Housing conditions and resources","Profile 6 (n =100)"
"65",4,"No vehicle",0.96467665253012,"Housing conditions and resources","Profile 6 (n =100)"
"66",4,"Hispanic/Latino",0.853179068433735,"Sociocultural diversity","Profile 6 (n =100)"
"67",4,"NH Black",0.853237579759036,"Sociocultural diversity","Profile 6 (n =100)"
"68",4,"NH Asian",0.956318563614458,"Sociocultural diversity","Profile 6 (n =100)"
"69",4,"Crowded housing",0.706136371325301,"Housing conditions and resources","Profile 6 (n =100)"
"70",4,"Below 150% poverty",0.958380533012048,"Economic security","Profile 6 (n =100)"
"71",4,"Working class",0.160301255975904,"Economic security","Profile 6 (n =100)"
"72",4,"Lack complete plumbing",0.363418587228916,"Housing conditions and resources","Profile 6 (n =100)"
"73",5,"Median income",0.419461854216867,"Economic security","Profile 5 (n =109)"
"74",5,"Female household",0.579042725783133,"Economic security","Profile 5 (n =109)"
"75",5,"< HS",0.939017209156626,"Educational attainment","Profile 5 (n =109)"
"76",5," >= HS",0.0363736098792771,"Educational attainment","Profile 5 (n =109)"
"77",5," >= Bacherlors",0.127469440096386,"Educational attainment","Profile 5 (n =109)"
"78",5,"Limited EN Proficiency",0.668066574457831,"Sociocultural diversity","Profile 5 (n =109)"
"79",5,"Unemployment",0.580152055903614,"Economic security","Profile 5 (n =109)"
