chain.1 chain.2 chain.3 chain.4
1 5 7 6
1 7 9 8
1 7 10 10
1 9 10 10
9 3 10 10
9 4 10 10
9 4 10 10
9 5 10 10
9 8 10 10
9 9 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
9 10 10 10
