"theta.1-1" "theta.2-1" "theta.3-1" "theta.4-1" "theta.5-1" "theta.6-1" "theta.7-1" "theta.8-1" "theta.9-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.4-2" "theta.5-2" "theta.6-2" "theta.7-2" "theta.8-2" "theta.9-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.4-3" "theta.5-3" "theta.6-3" "theta.7-3" "theta.8-3" "theta.9-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.4-4" "theta.5-4" "theta.6-4" "theta.7-4" "theta.8-4" "theta.9-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.4-5" "theta.5-5" "theta.6-5" "theta.7-5" "theta.8-5" "theta.9-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.4-6" "theta.5-6" "theta.6-6" "theta.7-6" "theta.8-6" "theta.9-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.4-7" "theta.5-7" "theta.6-7" "theta.7-7" "theta.8-7" "theta.9-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.4-8" "theta.5-8" "theta.6-8" "theta.7-8" "theta.8-8" "theta.9-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.4-9" "theta.5-9" "theta.6-9" "theta.7-9" "theta.8-9" "theta.9-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.4-10" "theta.5-10" "theta.6-10" "theta.7-10" "theta.8-10" "theta.9-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.4-11" "theta.5-11" "theta.6-11" "theta.7-11" "theta.8-11" "theta.9-11" "theta.1-12" "theta.2-12" "theta.3-12" "theta.4-12" "theta.5-12" "theta.6-12" "theta.7-12" "theta.8-12" "theta.9-12" "theta.1-13" "theta.2-13" "theta.3-13" "theta.4-13" "theta.5-13" "theta.6-13" "theta.7-13" "theta.8-13" "theta.9-13" "theta.1-14" "theta.2-14" "theta.3-14" "theta.4-14" "theta.5-14" "theta.6-14" "theta.7-14" "theta.8-14" "theta.9-14" "p.1" "p.2" "p.3" "p.4" "p.5" "p.6" "p.7" "p.8" "p.9"
"1" 0.494185 0.6030736 0.2565395 0.2457796 0.3170762 0.2377237 0.5259187 0.5143605 0.74646 0.2989243 0.1812054 0.3594322 0.1369685 0.2846818 0.2448631 0.1586306 0.3256186 0.3863746 0.3420581 0.5397511 0.2380144 0.8804546 0.3165759 0.8214423 0.7208745 0.09300358 0.0144559 0.9054252 0.9313428 0.02415593 0.8835446 0.9928509 0.2529014 0.2947825 0.1611273 0.2961651 0.6785176 0.3211799 0.2990475 0.2151066 0.008961306 0.1905486 0.2356188 0.3101171 0.1901831 0.007857397 0.3796045 0.5299907 0.1733731 0.02416694 0.1388467 0.9304024 0.6439653 0.3712316 0.6452081 0.3480449 0.4254633 0.319938 0.1105833 0.3111802 0.2609216 0.4962742 0.146103 0.9564155 0.7234469 0.2154043 0.8739829 0.9921608 0.842258 0.004066046 0.11686 0.01775291 0.1726571 0.1475058 0.1456106 0.1796976 0.02802986 0.0298783 0.1162154 0.2344147 0.03155994 0.8963943 0.001141891 0.9824411 0.9995068 0.9929308 0.9990575 0.9044203 0.02802627 0.02518945 0.1967072 0.9785073 0.05976682 5.339616e-05 0.3411581 0.3286981 0.2410892 0.9739766 0.9582786 0.3224501 0.240649 0.3779651 0.3515314 0.1386636 0.4188335 0.5142749 0.4225106 0.1872029 0.6141937 0.928247 0.03605254 0.9526639 0.9868196 0.2504057 0.4423865 0.04741437 0.2021198 0.4861658 0.2302276 0.4579266 0.1342031 0.02299531 0.2625513 0.2322879 0.4394189 0.1421968 0.01354731 0.1798095 0.07162747 0.1116538 0.1492932 0.08876529 0.06840781 0.10499 0.2119056
"2" 0.2561195 0.5263142 0.3534792 0.6956033 0.1763594 0.3011508 0.4103477 0.5850242 0.3987413 0.1777459 0.2676229 0.8571521 0.4063906 0.1187639 0.2970553 0.2516627 0.3317016 0.3768664 0.7458322 0.5990441 0.05293471 0.006169203 0.8689922 0.3192499 0.7480685 0.08021829 0.3236114 0.8957068 0.9805669 0.828765 0.3541185 0.1981966 0.9975973 0.3275541 0.1237948 0.06711714 0.2843571 0.2952289 0.3536203 0.1923354 0.3053046 0.04373508 0.1189035 0.3307748 0.3076418 0.1535626 0.3411371 0.1391779 0.3735716 0.1549867 0.01100047 0.9558839 0.5879921 0.4368877 0.3326973 0.2723393 0.1528617 0.1958857 0.2136925 0.1553248 0.1969602 0.523059 0.4174607 0.9013555 0.7382365 0.7178637 0.0004327229 0.854409 0.9938352 0.0006696196 0.1778632 0.2191571 0.2048704 0.1417532 0.1979084 0.02668638 0.01664799 0.02295521 0.1516489 0.2354556 0.1439565 0.9982847 0.009597184 0.9722281 0.01494721 0.9689357 0.9837495 0.927031 0.01492531 0.9835047 0.001819813 0.990975 0.2051015 0.968238 0.5157775 0.4250481 0.1612089 0.9998422 0.02791421 0.2603321 0.2373276 0.08987658 0.2128125 0.4771744 0.184659 0.4870568 0.4911364 0.2968303 0.9371885 0.9566946 0.4189063 0.2087193 0.3476499 0.9938219 0.3904682 0.03423583 0.04509754 0.1244212 0.2717952 0.382366 0.158627 0.3001861 0.008265562 0.1329856 0.3677327 0.4553632 0.1243213 0.1647991 0.004867974 0.2209838 0.09076233 0.144687 0.05277699 0.1039353 0.09286612
"3" 0.4265978 0.1973303 0.5237646 0.2905629 0.6175519 0.3889892 0.654447 0.4694902 0.2401901 0.1610673 0.256812 0.2222123 0.2139926 0.2541652 0.3136594 0.4609802 0.1742109 0.274759 0.1072063 0.8241073 0.6957176 0.747621 0.5409152 0.3714869 0.002097994 0.4170303 0.3667073 0.1645681 0.3004585 0.4950963 0.9593946 0.9587239 0.0480685 0.2272214 0.7953517 0.9753238 0.5258675 0.1739431 0.2316526 0.1784904 0.3409877 0.3133677 0.1916309 0.6317619 0.02416907 0.732962 0.09510239 0.8833164 0.1227247 0.3566498 0.5522644 0.4089538 0.2609002 0.06817824 0.387628 0.2030403 0.243265 0.4058253 0.2923476 0.3611183 0.2104408 0.03755453 0.1161016 0.2881905 0.7269457 0.138574 0.9349783 0.6676185 0.2558531 0.003327728 0.793408 0.9813024 0.3471139 0.0101591 0.05801763 0.1529543 0.134769 0.09738301 0.01747202 0.6984146 0.01990366 0.02368598 0.9964542 0.9628187 0.9923746 0.02760478 0.9666752 0.02345782 0.7641154 0.9860423 0.9923052 0.4383921 0.1896508 0.02217448 0.9878273 0.08041821 0.9628408 0.02993657 0.3628831 0.41408 0.5424725 0.4187036 0.3675593 0.2488572 0.3927709 0.2514138 0.2782868 0.115321 0.02062778 0.2779065 0.5396934 0.8706056 0.929984 0.05823709 0.1127631 0.7187922 0.9808029 0.4862091 0.1515388 0.191789 0.0827049 0.27006 0.5009111 0.207184 0.8446089 0.03905787 0.08420672 0.0626144 0.05915304 0.1261249 0.1698975 0.1025556 0.2437267 0.005793941 0.1459273
"4" 0.3426894 0.412508 0.2284941 0.4581333 0.6664624 0.5679456 0.1672843 0.8700128 0.6148803 0.1473005 0.1941783 0.2649855 0.1204694 0.3034953 0.3071562 0.2743755 0.6035606 0.3944258 0.718812 0.3422359 0.7740363 0.1681094 0.5103944 0.6472733 0.3098125 0.3612856 0.01121221 0.9897058 0.03918964 0.1886014 0.05342474 0.9875776 0.6028928 0.9625098 0.7957233 0.1926724 0.1655641 0.39489 0.3420716 0.501962 0.275103 0.04274511 0.01868863 0.8133804 0.1774838 0.1351508 0.6034335 0.1302121 0.5967343 0.3824448 0.9239605 0.0154406 0.0141417 0.4406344 0.2880817 0.4058428 0.3448608 0.7203153 0.2187231 0.1918147 0.1705653 0.6373777 0.1456315 0.9443562 0.1133591 0.8708411 0.1578981 0.7027536 0.06393669 0.9971756 0.7563648 0.006132502 0.1297631 0.1501025 0.0464422 0.3477803 0.09773883 0.1687071 0.01353471 0.2562686 0.04009969 0.9980834 0.9960304 0.9985504 0.02965917 0.0009590851 0.9358478 0.9513422 0.6532903 0.0110934 0.000456025 0.02019185 0.3244837 0.9993832 0.9908866 0.2746508 0.5079772 0.2559926 0.9630537 0.2396005 0.4447613 0.3849035 0.4509503 0.2451375 0.3900193 0.1847943 0.3709293 0.2584293 0.9113955 0.1687892 0.2788538 0.001802172 0.9549174 0.6409928 0.9933135 0.3112677 0.1345614 0.1307795 0.5507035 0.2963485 0.4185258 0.2734903 0.1338063 0.02414608 0.706539 0.2062157 0.1412477 0.1085335 0.0766802 0.05044039 0.1669942 0.04825439 0.144144 0.006910038 0.2567955
"5" 0.350393 0.4263167 0.2766987 0.4908403 0.5439562 0.3620009 0.2354617 0.6609445 0.6090307 0.2740817 0.280568 0.2827287 0.2180956 0.218209 0.4641008 0.3217954 0.3725312 0.23244 0.8577766 0.0931152 0.8117165 0.5384882 0.6579257 0.1693838 0.2737196 0.01154292 0.5048452 0.2184786 0.1164572 0.9378298 0.5905559 0.2403859 0.07176961 0.9857515 0.2520995 0.9488712 0.2638732 0.4304055 0.1867811 0.8269959 0.1778014 0.3885647 0.03955747 0.1974017 0.3276861 0.06708635 0.6811242 0.1518843 0.03060624 0.9891943 0.5157951 0.02403909 0.4333824 0.4163761 0.1903286 0.4057195 0.3421579 0.7619142 0.1980151 0.4033183 0.1770764 0.1684304 0.2388351 0.8038246 0.1618652 0.9203575 0.9583637 0.002145763 0.1540081 0.9760647 0.02435956 0.6712263 0.0495094 0.4465181 0.1890129 0.1095963 0.06936813 0.2086524 0.0131045 0.04654454 0.157668 0.9854134 0.03122602 0.9920755 0.9638112 0.8801419 0.9829093 0.9776981 0.01263243 0.004030358 0.307538 0.9855565 0.004897873 0.06213339 0.2690737 0.08053908 0.3670969 0.9816459 0.974261 0.3661126 0.5653139 0.253854 0.5230175 0.334574 0.4785357 0.1614526 0.2067904 0.2162324 0.2698089 0.04418149 0.9338159 0.2582531 0.4006822 0.06787849 0.9671638 0.1459839 0.9392134 0.2804018 0.5751406 0.1793565 0.60214 0.2253327 0.5426995 0.03949937 0.2222009 0.3168664 0.09070373 0.06466625 0.118175 0.01558132 0.06467833 0.05730459 0.1782046 0.2502942 0.160392
"6" 0.6734522 0.5816163 0.2889842 0.2055896 0.4223247 0.4377526 0.2384195 0.4383535 0.368871 0.3798576 0.2955877 0.2574192 0.1826492 0.6283732 0.2177782 0.2247785 0.1655293 0.4409013 0.007527966 0.5242844 0.2699189 0.7660965 0.2605278 0.1136261 0.6265265 0.6289947 0.2612498 0.288001 0.9446607 0.9812444 0.1636646 0.6745403 0.04164312 0.9806321 0.2356681 0.01490499 0.182664 0.3695866 0.01877464 0.2843549 0.08318333 0.4753863 0.2545033 0.2553951 0.4111035 0.4340573 0.3781401 0.0359079 0.1003656 0.1202835 0.6279064 0.1415605 0.9100781 0.3653821 0.2176464 0.2921375 0.1180693 0.2691749 0.4623563 0.5313735 0.3154298 0.2107102 0.3611153 0.01129664 0.6444344 0.9974059 0.862108 0.9632588 0.2628409 0.9344876 0.01343943 0.3047548 0.01212912 0.1511947 0.001914709 0.01869481 0.4570599 0.4288662 0.1293088 0.1812886 0.1313169 0.01650586 0.02605935 0.9692643 0.9973855 0.3652713 0.007732646 0.9997819 0.9464772 0.9039276 0.9813653 0.9865571 0.3849492 0.2590533 0.843029 0.9914735 0.03793141 0.2537847 0.03332686 0.2193993 0.2572045 0.1183146 0.4149238 0.9075703 0.5468524 0.332464 0.4489533 0.3047837 0.1387097 0.9328221 0.9726963 0.3756743 0.7059058 0.007096817 0.9023745 0.5086605 0.0229491 0.1965536 0.2540897 0.01452833 0.3168294 0.6045753 0.4663008 0.1561155 0.2624212 0.6238396 0.2584138 0.1827405 0.123177 0.09905126 0.007463023 0.06014007 0.1343288 0.05792101 0.07676453
"7" 0.8614059 0.6381437 0.3338107 0.246829 0.3806326 0.2484275 0.2585165 0.5694471 0.6769102 0.8242947 0.3804042 0.1865347 0.4214127 0.1338052 0.2172302 0.2740995 0.2626944 0.2038604 0.391643 0.004567209 0.7630386 0.1662829 0.1431118 0.6807434 0.4236383 0.6871419 0.5869854 0.9596337 0.2666079 0.94197 0.08916431 0.002213986 0.3568067 0.9806658 0.1180099 0.975966 0.6925411 0.1885111 0.2209978 0.4758399 0.3944801 0.3055186 0.009302693 0.2173338 0.3572999 0.2031798 0.4395676 0.4040166 0.4598031 0.6372835 0.0901998 0.02716641 0.7328047 0.3412599 0.5810947 0.2316774 0.4001215 0.5764294 0.4544842 0.2089546 0.1389869 0.1620189 0.2678247 0.6726496 0.01084452 0.7307784 0.1945433 0.2913356 0.9583659 0.9888316 0.001110033 0.6333147 0.3445478 0.03714826 0.1655387 0.1439002 0.4367737 0.05051157 0.03121533 0.06082587 0.1358005 0.3645281 0.02831452 0.9972703 0.9821965 0.006708869 0.9791126 0.9701267 0.9654289 0.007418072 0.9742004 0.9942243 0.02223115 0.01366899 0.9857517 0.3400376 0.2819472 0.1842123 0.9809124 0.2433333 0.2344897 0.2401308 0.258086 0.4355719 0.3804367 0.2471313 0.4886558 0.1963478 0.5135105 0.1223926 0.9564617 0.02938267 0.01165887 0.3702756 0.9413658 0.2228814 0.9587526 0.8386168 0.1934138 0.2668803 0.607163 0.5267385 0.2698025 0.0154958 0.3671159 0.2835642 0.002942518 0.244157 0.09831794 0.07385666 0.05834023 0.103193 0.1729494 0.07091517 0.1753281
"8" 0.5978798 0.4177413 0.5627835 0.2213786 0.4214591 0.2244998 0.3306006 0.6325666 0.4153409 0.2087249 0.19592 0.05092595 0.3183313 0.5632094 0.2294953 0.3673571 0.4097015 0.2343684 0.5890569 0.5948428 0.1001912 0.6549065 0.04745674 0.4023253 0.2266339 0.01908774 0.7551906 0.9865218 0.1036291 0.02092795 0.3018033 0.713776 0.925204 0.1695683 0.2188358 0.9852522 0.3052275 0.1559244 0.4905455 0.2898305 0.8523087 0.04561627 0.5753708 0.1439921 0.2149203 0.2997381 0.7717656 0.5657395 0.009803288 0.5114394 0.0291514 0.5621546 0.4776667 0.414295 0.3102788 0.07664875 0.5935553 0.3760061 0.2893368 0.15246 0.6045444 0.1999925 0.3462267 0.6927287 0.1565686 0.2858043 0.7498924 0.07529131 0.9995497 0.1578736 0.02299965 0.7345452 0.1327183 0.07355378 0.2457358 0.02173819 0.09601525 0.02118396 0.2214745 0.05850875 0.2306812 0.001884764 0.9391811 0.0177794 0.9631245 0.2036228 0.9891434 0.9870532 0.005017964 0.9992125 0.9945879 0.3206191 0.9712459 0.2024417 0.9640154 0.3315665 0.01475319 0.9612248 0.01210723 0.1991631 0.5533811 0.4607951 0.4018179 0.2868181 0.2102716 0.3056689 0.2600677 0.2288436 0.9536357 0.2133265 0.02255325 0.2874717 0.1456814 0.9616042 0.0775946 0.1369742 0.9855235 0.2293115 0.2389034 0.4637694 0.2767252 0.878864 0.0310237 0.6547929 0.1970779 0.1713295 0.1478247 0.07832504 0.06114015 0.08571075 0.01917131 0.2265711 0.05824951 0.2444229 0.0785845
"9" 0.6417202 0.8190708 0.4270166 0.2516372 0.300264 0.6318692 0.3779814 0.4780212 0.2825116 0.3658094 0.4943488 0.1826497 0.3095663 0.1236718 0.1857485 0.2857068 0.1904066 0.2384845 0.01409793 0.01844554 0.04915013 0.3241507 0.8254301 0.6710343 0.2252538 0.5771418 0.7665646 0.2602562 0.7310785 0.1560854 0.9684466 0.906044 0.9809697 0.08168124 0.1371854 0.2740146 0.1744118 0.2814024 0.489669 0.01630435 0.300317 0.2919344 0.4651959 0.09479712 0.3119954 0.4060772 0.651629 0.62138 0.02509428 0.312531 0.3504173 0.5445445 0.8878774 0.07142192 0.2048133 0.2237134 0.6196514 0.1662616 0.3976115 0.3030069 0.5178077 0.1178272 0.2279782 0.003004123 0.09068152 0.216808 0.9865351 0.8216677 0.7769917 0.2497225 0.0166813 0.8621473 0.02824596 0.007159688 0.2779313 0.03289685 0.1959382 0.1459441 0.1924974 0.1288517 0.03845212 0.02732878 0.05359005 0.01397591 0.9622439 0.9975593 0.009107934 0.9715288 0.8725584 0.9934532 0.9857823 0.9386771 0.9957198 0.3743983 0.002787258 0.9914082 0.02295273 0.2857362 0.2598687 0.2381748 0.3282029 0.3223214 0.1964511 0.3503402 0.2542441 0.2917631 0.5671908 0.4755917 0.07033899 0.8757539 0.001942095 0.9678165 0.9869229 0.9752441 0.14676 0.3128631 0.210769 0.1116545 0.5940781 0.4344835 0.01544749 0.1869 0.2124824 0.6002102 0.1572322 0.2705683 0.2083303 0.05037744 0.1050225 0.1683168 0.0985347 0.1327916 0.07266371 0.05991207 0.1040508
"10" 0.4848525 0.8267029 0.6068769 0.1666595 0.4173117 0.6127853 0.355175 0.1781072 0.4715012 0.106242 0.5182972 0.25408 0.2177103 0.1738562 0.3599437 0.4711717 0.2737223 0.2081518 0.08084554 0.1588573 0.5670332 0.7788395 0.7041385 0.001228613 0.1972378 0.3391568 0.7053796 0.05827716 0.7066105 0.9786996 0.2379107 0.9722398 0.2263201 0.1337209 0.9832915 0.1632487 0.4863675 0.366061 0.3429992 0.2902437 0.2549247 0.1506623 0.4674287 0.01464351 0.2056004 0.6317159 0.5912206 0.3375752 0.07459316 0.2753774 0.3953158 0.4210646 0.04440373 0.7587268 0.4965919 0.353843 0.2904377 0.3045498 0.3697383 0.1838744 0.4592577 0.1213427 0.1641472 0.1946878 0.008887734 0.768953 0.9240718 0.8169214 0.01816303 0.2281575 0.9851455 0.0168889 0.3834669 0.05788703 0.1324922 0.06969732 0.2027581 0.0246575 0.1932067 0.01733985 0.095376 0.03118791 0.0355035 0.009380001 0.9817173 0.9968047 0.01657964 0.9954936 0.9736914 0.9203963 0.9774211 0.9769181 0.99578 0.2910282 0.01359454 0.9990808 0.08871055 0.3561255 0.1628766 0.4282674 0.1480148 0.2303383 0.4958079 0.262172 0.3472509 0.3423516 0.2288517 0.5793509 0.0247005 0.5954036 0.9362679 0.383684 0.9288162 0.06894188 0.0705853 0.977582 0.3445756 0.5828473 0.6808971 0.2313005 0.2618318 0.1366559 0.1265711 0.4759504 0.02100792 0.2742524 0.07096601 0.06376382 0.1310143 0.09556275 0.1220691 0.221642 0.08796 0.1370856 0.06993644
