"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1" 3 3 3
"z.2" 7 7 7
"z.3" 5 5 5
"z.4" 7 7 7
"z.5" 3 3 3
"z.6" 6 6 6
"z.7" 7 7 7
"z.8" 7 7 7
"z.9" 3 3 3
"z.10" 7 7 7
"z.11" 3 3 3
"z.12" 3 3 3
"z.13" 3 3 3
"z.14" 3 3 3
"z.15" 7 7 7
"z.16" 5 5 5
"z.17" 6 6 6
"z.18" 3 3 3
"z.19" 3 3 3
"z.20" 7 7 7
"z.21" 3 3 3
"z.22" 6 6 6
"z.23" 1 1 1
"z.24" 6 6 6
"z.25" 2 2 2
"z.26" 7 7 7
"z.27" 1 1 1
"z.28" 6 6 6
"z.29" 1 1 1
"z.30" 7 7 7
"z.31" 3 3 3
"z.32" 7 7 7
"z.33" 3 3 3
"z.34" 3 3 3
"z.35" 7 7 7
"z.36" 3 3 3
"z.37" 7 7 7
"z.38" 7 7 7
"z.39" 3 3 3
"z.40" 3 3 3
"z.41" 5 5 5
"z.42" 7 7 7
"z.43" 7 7 7
"z.44" 1 1 1
"z.45" 7 7 7
"z.46" 7 7 7
"z.47" 3 3 3
"z.48" 7 7 7
"z.49" 7 7 7
"z.50" 2 2 2
"z.51" 7 7 7
"z.52" 3 3 3
"z.53" 3 3 3
"z.54" 3 3 3
"z.55" 3 3 3
"z.56" 1 1 1
"z.57" 9 9 9
"z.58" 1 1 1
"z.59" 1 1 1
"z.60" 6 6 6
"z.61" 6 6 6
"z.62" 5 5 5
"z.63" 1 1 1
"z.64" 6 6 6
"z.65" 5 5 5
"z.66" 9 9 9
"z.67" 6 6 6
"z.68" 3 3 3
"z.69" 3 3 3
"z.70" 9 9 9
"z.71" 6 6 6
"z.72" 5 5 5
"z.73" 5 5 5
"z.74" 1 1 1
"z.75" 1 1 1
"z.76" 6 6 6
"z.77" 1 1 1
"z.78" 1 1 1
"z.79" 6 6 6
"z.80" 3 3 3
"z.81" 5 5 5
"z.82" 9 9 9
"z.83" 6 6 6
"z.84" 8 8 8
"z.85" 3 3 3
"z.86" 3 3 3
"z.87" 6 6 6
"z.88" 3 3 3
"z.89" 5 5 5
"z.90" 1 1 1
"z.91" 3 3 3
"z.92" 5 5 5
"z.93" 7 7 7
"z.94" 7 7 7
"z.95" 3 3 3
"z.96" 4 4 4
"z.97" 9 9 9
"z.98" 3 3 3
"z.99" 7 7 7
"z.100" 5 5 5
"z.101" 1 1 1
"z.102" 7 7 7
"z.103" 7 7 7
"z.104" 9 9 9
"z.105" 3 3 3
"z.106" 5 5 5
"z.107" 3 3 3
"z.108" 6 6 6
"z.109" 5 5 5
"z.110" 6 6 6
"z.111" 6 6 6
"z.112" 8 8 8
"z.113" 8 8 8
"z.114" 1 1 1
"z.115" 4 4 4
"z.116" 1 1 1
"z.117" 4 4 4
"z.118" 4 4 4
"z.119" 1 1 1
"z.120" 1 1 1
"z.121" 8 8 8
"z.122" 8 8 8
"z.123" 8 8 8
"z.124" 3 3 3
"z.125" 8 8 8
"z.126" 2 2 2
"z.127" 4 4 4
"z.128" 7 7 7
"z.129" 5 5 5
"z.130" 7 7 7
"z.131" 8 8 8
"z.132" 5 5 5
"z.133" 5 5 5
"z.134" 1 1 1
"z.135" 4 4 4
"z.136" 1 1 1
"z.137" 3 3 3
"z.138" 4 4 4
"z.139" 8 8 8
"z.140" 8 8 8
"z.141" 5 5 5
"z.142" 3 3 3
"z.143" 1 1 1
"z.144" 1 1 1
"z.145" 1 1 1
"z.146" 1 1 1
"z.147" 1 1 1
"z.148" 1 1 1
"z.149" 6 6 6
"z.150" 1 1 1
"z.151" 1 1 1
"z.152" 1 1 1
"z.153" 1 1 1
"z.154" 2 2 2
"z.155" 1 1 1
"z.156" 1 1 1
"z.157" 1 1 1
"z.158" 1 1 1
"z.159" 1 1 1
"z.160" 4 4 4
"z.161" 1 1 1
"z.162" 1 1 1
"z.163" 4 4 4
"z.164" 4 4 4
"z.165" 5 5 5
"z.166" 1 1 1
"z.167" 3 3 3
"z.168" 8 8 8
"z.169" 8 8 8
"z.170" 6 6 6
"z.171" 6 6 6
"z.172" 8 8 8
"z.173" 8 8 8
"z.174" 6 6 6
"z.175" 6 6 6
"z.176" 7 7 7
"z.177" 6 6 6
"z.178" 1 1 1
"z.179" 6 6 6
"z.180" 1 1 1
"z.181" 4 4 4
"z.182" 1 1 1
"z.183" 1 1 1
"z.184" 9 9 9
"z.185" 1 1 1
"z.186" 1 1 1
"z.187" 1 1 1
"z.188" 1 1 1
"z.189" 6 6 6
"z.190" 1 1 1
"z.191" 2 2 2
"z.192" 1 1 1
"z.193" 1 1 1
"z.194" 1 1 1
"z.195" 1 1 1
"z.196" 2 2 2
"z.197" 1 1 1
"z.198" 2 2 2
"z.199" 1 1 1
"z.200" 4 4 4
"z.201" 8 8 8
"z.202" 1 1 1
"z.203" 1 1 1
